2022-05-30 15:39:33,204 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-05-30 15:39:33,206 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:39:33,411 WARNING werkzeug MainThread :  * Debugger is active!
2022-05-30 15:39:33,411 INFO werkzeug MainThread :  * Debugger PIN: 100-900-223
2022-05-30 15:39:42,524 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/views.py', reloading
2022-05-30 15:39:42,556 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:39:42,719 WARNING werkzeug MainThread :  * Debugger is active!
2022-05-30 15:39:42,720 INFO werkzeug MainThread :  * Debugger PIN: 100-900-223
2022-05-30 15:39:43,406 INFO werkzeug Thread-2 : 127.0.0.1 - - [30/May/2022 15:39:43] "POST /yaml-template/?cluster_name=cluster_tosca_6 HTTP/1.1" 200 -
2022-05-30 15:40:16,117 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/parser/tosca_v_1_3/TemplateDefinition.py', reloading
2022-05-30 15:40:16,142 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:41:47,494 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:44:48,946 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:49:20,679 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:51:22,408 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 15:51:31,765 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 16:00:40,310 INFO werkzeug MainThread :  * Restarting with stat
2022-05-30 16:05:34,485 INFO werkzeug MainThread :  * Restarting with stat
