2022-02-25 18:06:51,417 INFO werkzeug MainThread :  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
2022-02-25 18:06:51,419 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:06:51,583 WARNING werkzeug MainThread :  * Debugger is active!
2022-02-25 18:06:51,583 INFO werkzeug MainThread :  * Debugger PIN: 277-721-888
2022-02-25 18:08:41,651 INFO werkzeug MainThread :  * Detected change in '/home/tulin/PycharmProjects/pythonProject/app/yaml_parser.py', reloading
2022-02-25 18:08:41,677 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:09:53,658 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:10:55,530 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:11:50,340 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:13:04,307 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:13:12,580 INFO werkzeug MainThread :  * Restarting with stat
2022-02-25 18:13:48,170 INFO werkzeug MainThread :  * Restarting with stat
