2021-12-21 16:49:30,516 WARNING werkzeug MainThread :  * Debugger is active!
2021-12-21 16:49:30,516 INFO werkzeug MainThread :  * Debugger PIN: 360-797-176
2021-12-21 16:50:11,817 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,852 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,904 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,912 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,960 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,967 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:11,973 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,020 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,028 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,077 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,084 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,132 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,139 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,188 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,196 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,202 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,209 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,257 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,266 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,317 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,325 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,377 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,386 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,437 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,445 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,497 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,506 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,557 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,566 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,576 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,585 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,637 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,646 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,696 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,705 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,756 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,766 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,817 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,826 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,877 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,886 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,942 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,951 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:12,959 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:13,009 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
2021-12-21 16:50:13,019 INFO root Thread-2 : Get connection to ('10.100.151.128', 9669)
